ship_name,class,uic,status,fleet,date_status_change,homeport,maintenance_category,berth,force,builder,award_date,commission_date,keel_date,inactivation_date,launch_date,decommission_date,age_since_launch,years_commission_decommission,delivery_date,in-service_date,age_since_delivery,out_of_service_date,stricken_date,overall_length,waterline_length,extreme_beam,waterline_beam,max_navigational_draft,draft_limit,light_displacement,full_displacement,dead_weight,hull material,num_propellers,num_waterjet,propulsion_type,officer_accom,enlisted_accom,custodian,planning_yard,nuclear_planning_yard,ship_program_mgr,comments,last_updated
USS HELENA (SSN 725),SSN 688,21367,"Active, in commission",U.S. ATLANTIC FLEET,07/11/1987,"NORFOLK, VA",,,Battle Force,General Dynamics Corp.,04/19/1982,07/11/1987,03/28/1985,,06/28/1986,,32.3,,06/23/1987,,31.3,,,362 ft,,33 ft,,31 ft,,5808 tons,6203 tons,395 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),12,98,US NAVY,Huntington Ingalls Industries - Newport News Shipbuilding,General Dynamics Electric Boat,PMS 392,,05/30/2018
USS HENRY M JACKSON (SSBN 730),SSBN 726,21040,"Active, in commission",U.S. PACIFIC FLEET,10/06/1984,"BANGOR, WA",,,Battle Force,General Dynamics Corp.,06/06/1977,10/06/1984,11/19/1981,,10/15/1983,,34.9,,09/11/1984,,34.0,,,560 ft,,42 ft,,38 ft,,15279 tons,16818 tons,1539 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),13,140,US NAVY,General Dynamics Electric Boat,General Dynamics Electric Boat,PMS 392,,06/27/2018
USS HIGGINS (DDG 76),DDG 51,21950,"Active, in commission",U.S. PACIFIC FLEET,04/24/1999,"SAN DIEGO, CA",,,Battle Force,Bath Iron Works Corp.,01/19/1993,04/24/1999,11/14/1996,,10/04/1997,,20.9,,01/14/1999,,19.7,,,505 ft,466 ft,66 ft,59 ft,31 ft,24 ft,6664 tons,8960 tons,2296 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,26,330,US NAVY,General Dynamics Bath Iron Works,,PMS 400,,06/27/2018
USS HOPPER (DDG 70),DDG 51,21944,"Active, in commission",U.S. PACIFIC FLEET,09/06/1997,"PEARL HARBOR, HI",,,Battle Force,Bath Iron Works Corp.,04/08/1992,09/06/1997,02/23/1995,,01/06/1996,,22.7,,04/11/1997,,21.4,,,505 ft,466 ft,66 ft,59 ft,32 ft,22 ft,6750 tons,8960 tons,2210 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,26,330,US NAVY,General Dynamics Bath Iron Works,,PMS 400,,06/27/2018
USS HOWARD (DDG 83),DDG 51,22999,"Active, in commission",U.S. PACIFIC FLEET,10/20/2001,"SAN DIEGO, CA",,,Battle Force,Bath Iron Works Corp.,06/20/1996,10/20/2001,12/09/1998,,11/20/1999,,18.8,,06/22/2001,,17.3,,,510 ft,471 ft,66 ft,59 ft,32 ft,22 ft,7134 tons,9515 tons,2381 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,30,282,US NAVY,General Dynamics Bath Iron Works,,PMS 400,,06/27/2018
USS HUE CITY (CG 66),CG 47,21656,"Active, in commission",U.S. ATLANTIC FLEET,09/14/1991,"MAYPORT, FL",,,Battle Force,Ingalls Shipbuilding Corp.,04/16/1987,09/14/1991,02/20/1989,,06/01/1990,,28.3,,06/28/1991,,27.3,,,567 ft,529 ft,55 ft,55 ft,33 ft,23 ft,7132 tons,9992 tons,2860 tons,"Steel hull, aluminum superstructure.",2,,Gas Turbines,37,339,US NAVY,Huntington Ingalls Industries - Ingalls Shipbuilding,,PMS 407,,08/02/2018
USS HURRICANE (PC 3),PC 1,21932,"Active, in commission",U.S. ATLANTIC FLEET,10/15/1993,"MANAMA, BAHRAIN",,,,Bollinger Machine Shop & Shipyard,08/03/1990,10/15/1993,11/20/1991,,06/06/1992,,26.3,,07/21/1993,,25.2,,,178 ft,,25 ft,,8 ft,,288 tons,334 tons,46 tons,"Steel hull, aluminum superstructure.",4,,Diesel Engines,4,26,US NAVY,Puget Sound Naval Shipyard & IMF,,PMS 470,,06/27/2018
USS ILLINOIS (SSN 786),SSN 774,20181,"Active, in commission",U.S. PACIFIC FLEET,10/29/2016,"PEARL HARBOR, HI",,,Battle Force,General Dynamics Corp.,12/22/2008,10/29/2016,06/02/2014,,08/08/2015,,3.1,,08/27/2016,,2.1,,,377 ft,,33 ft,,32 ft,,,7800 tons,,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),15,117,US NAVY,General Dynamics Electric Boat,General Dynamics Electric Boat,PMS 450,,06/27/2018
USS INDEPENDENCE (LCS 2),LCS,20127,"Active, in commission",U.S. PACIFIC FLEET,01/16/2010,"SAN DIEGO, CA",,,Battle Force,Austal USA,10/14/2005,01/16/2010,01/19/2006,,04/28/2008,,10.4,,12/18/2009,,8.8,,,418 ft,,104 ft,,14 ft,,2307 tons,3104 tons,797 tons,All aluminum hull.,,4,Diesel - Gas Turbine,8,32,US NAVY,General Dynamics Bath Iron Works,,PMS 505,,06/27/2018
USS IWO JIMA (LHD 7),LHD 1,23027,"Active, in commission",U.S. ATLANTIC FLEET,06/30/2001,"MAYPORT, FL",,,Battle Force,Northrop Grumman Ship Systems Ingalls Operations,02/28/1995,06/30/2001,12/12/1997,,03/25/2000,,18.5,,04/06/2001,,17.4,,,847 ft,778 ft,118 ft,106 ft,28 ft,28 ft,28233 tons,41684 tons,13451 tons,"Steel hull, aluminum superstructure.",2,,Geared Steam Turbines,102,1102,US NAVY,Norfolk Naval Shipyard,,PMS 470,,06/27/2018
USS JACKSON (LCS 6),LCS,20135,"Active, in commission",U.S. PACIFIC FLEET,12/05/2015,"SAN DIEGO, CA",,,Battle Force,Austal USA,12/29/2010,12/05/2015,10/18/2012,,12/14/2013,,4.8,,08/11/2015,,3.1,,,,,,,,,,,,,,4,Diesel - Gas Turbine,,,US NAVY,General Dynamics Bath Iron Works,,PMS 501,,06/27/2018
USS JACKSONVILLE (SSN 699),SSN 688,20825,"In Commission, in Reserve (Stand Down), commencement of inactivation availability",U.S. PACIFIC FLEET,05/01/2018,"BREMERTON, WA",,,,General Dynamics Corp.,01/08/1971,05/16/1981,02/21/1976,05/01/2018,11/18/1978,,39.8,,03/31/1981,,37.5,,,362 ft,,33 ft,,32 ft,,5720 tons,6149 tons,429 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),12,98,US NAVY,Huntington Ingalls Industries - Newport News Shipbuilding,General Dynamics Electric Boat,PMS 392,,05/30/2018
USS JAMES E WILLIAMS (DDG 95),DDG 51,23148,"Active, in commission",U.S. ATLANTIC FLEET,12/11/2004,"NORFOLK, VA",,,Battle Force,Northrop Grumman Ship Systems Ingalls Operations,03/06/1998,12/11/2004,07/15/2002,,06/25/2003,,15.3,,08/23/2004,,14.1,,,510 ft,471 ft,66 ft,59 ft,32 ft,22 ft,7134 tons,9515 tons,2381 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,30,282,US NAVY,General Dynamics Bath Iron Works,,PMS 400,,06/27/2018
USS JASON DUNHAM (DDG 109),DDG 51,55685,"Active, in commission",U.S. ATLANTIC FLEET,11/13/2010,"NORFOLK, VA",,,Battle Force,Bath Iron Works Corp.,09/13/2002,11/13/2010,04/11/2008,,08/02/2009,,9.1,,06/04/2010,,8.3,,,510 ft,471 ft,66 ft,59 ft,32 ft,22 ft,7134 tons,9515 tons,2381 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,30,282,US NAVY,General Dynamics Bath Iron Works,,PMS 400,,06/27/2018
USS JEFFERSON CITY (SSN 759),SSN 688,21605,"Active, in commission",U.S. PACIFIC FLEET,02/29/1992,"PEARL HARBOR, HI",,,Battle Force,Newport News Shipbuilding,11/26/1984,02/29/1992,09/21/1987,,08/17/1990,,28.1,,01/28/1992,,26.7,,,362 ft,,33 ft,,31 ft,,6000 tons,6927 tons,927 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),12,98,US NAVY,Huntington Ingalls Industries - Newport News Shipbuilding,General Dynamics Electric Boat,PMS 392,,05/30/2018
USS JIMMY CARTER (SSN 23),SSN 21,41718,"Active, in commission",U.S. PACIFIC FLEET,02/19/2005,"BANGOR, WA",,,Battle Force,General Dynamics Corp.,06/29/1996,02/19/2005,12/12/1995,,05/13/2004,,14.3,,12/22/2004,,13.8,,,453 ft,453 ft,40 ft,,36 ft,,,12130 tons,,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),14,126,US NAVY,Huntington Ingalls Industries - Newport News Shipbuilding,General Dynamics Electric Boat,PMS 392,,05/30/2018
USS JOHN C STENNIS (CVN 74),CVN 68,21847,"Active, in commission",U.S. PACIFIC FLEET,12/09/1995,"BREMERTON, WA",,,Battle Force,Newport News Shipbuilding,06/30/1988,12/09/1995,03/13/1991,,11/13/1993,,24.8,,11/09/1995,,22.8,,,1092 ft,1040 ft,252 ft,134 ft,42 ft,41 ft,78453 tons,103300 tons,24847 tons,"Steel hull, steel superstructure.",4,,Steam Turbines (Nuclear),200,6075,US NAVY,Norfolk Naval Shipyard,"Newport News Shipbuilding and Drydock Co., Newport News, VA",PMS 312,,06/27/2018
USS JOHN FINN (DDG 113),DDG 51,20010,"Active, in commission",U.S. PACIFIC FLEET,06/02/2017,"SAN DIEGO, CA",,,Battle Force,Ingalls Shipbuilding Corp.,06/15/2011,06/02/2017,11/18/2013,,03/28/2015,,3.5,,12/07/2016,,1.8,,,510 ft,,59 ft,,31 ft,,7028 tons,9140 tons,2112 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,32,282,US NAVY,General Dynamics Bath Iron Works,,PMS 400,,06/27/2018
USS JOHN P MURTHA (LPD 26),LPD 17,23182,"Active, in commission",U.S. PACIFIC FLEET,10/08/2016,"SAN DIEGO, CA",,,Battle Force,Ingalls Shipbuilding Corp.,04/01/2011,08/11/2016,02/06/2012,,10/30/2014,,3.9,,05/13/2016,,2.3,,,684 ft,656 ft,105 ft,105 ft,,24 ft,19100 tons,25750 tons,6650 tons,"Steel hull, steel superstructure.",2,,Diesel Engines,38,364,US NAVY,Huntington Ingalls Industries - Ingalls Shipbuilding,,PMS 407,,08/01/2018
USS JOHN PAUL JONES (DDG 53),DDG 51,21313,"Active, in commission",U.S. PACIFIC FLEET,12/18/1993,"PEARL HARBOR, HI",,,Battle Force,Bath Iron Works Corp.,09/25/1987,12/18/1993,08/08/1990,,10/26/1991,,26.9,,08/20/1993,,25.1,,,505 ft,466 ft,66 ft,59 ft,31 ft,22 ft,6782 tons,8960 tons,2178 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,26,330,US NAVY,General Dynamics Bath Iron Works,,PMS 400,,06/27/2018
USS JOHN S MCCAIN (DDG 56),DDG 51,21686,"Active, in commission",U.S. PACIFIC FLEET,07/02/1994,"YOKOSUKA, JAPAN",,,Battle Force,Bath Iron Works Corp.,12/13/1988,07/02/1994,09/03/1991,,09/26/1992,,26.0,,05/27/1994,,24.3,,,505 ft,466 ft,66 ft,59 ft,31 ft,22 ft,6732 tons,8960 tons,2228 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,26,330,US NAVY,General Dynamics Bath Iron Works,,PMS 400,,06/27/2018
USS JOHN WARNER (SSN 785),SSN 774,20038,"Active, in commission",U.S. ATLANTIC FLEET,08/01/2015,"NORFOLK, VA",,,Battle Force,Newport News Shipbuilding,12/22/2008,08/01/2015,03/16/2013,,09/10/2014,,4.0,,06/25/2015,,3.3,,,377 ft,,33 ft,,32 ft,,,7800 tons,,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),15,117,US NAVY,General Dynamics Electric Boat,General Dynamics Electric Boat,PMS 450,,06/27/2018
USS KEARSARGE (LHD 3),LHD 1,21700,"Active, in commission",U.S. ATLANTIC FLEET,10/16/1993,"NORFOLK, VA",,,Battle Force,Ingalls Shipbuilding Corp.,11/20/1987,10/16/1993,02/06/1990,,03/26/1992,,26.5,,08/16/1993,,25.1,,,847 ft,778 ft,118 ft,106 ft,28 ft,28 ft,28078 tons,41684 tons,13606 tons,"Steel hull, aluminum superstructure.",2,,Geared Steam Turbines,102,1102,US NAVY,Norfolk Naval Shipyard,,PMS 470,,06/27/2018
USS KENTUCKY (SSBN 737),SSBN 726,21433,"Active, in commission",U.S. PACIFIC FLEET,07/13/1991,"BANGOR, WA",,,Battle Force,General Dynamics Corp.,08/13/1985,07/13/1991,12/18/1987,,08/11/1990,,28.1,,06/27/1991,,27.3,,,560 ft,,42 ft,,38 ft,,14866 tons,16921 tons,2055 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),13,140,US NAVY,General Dynamics Electric Boat,General Dynamics Electric Boat,PMS 392,,06/27/2018
USS KEY WEST (SSN 722),SSN 688,21101,"Active, in commission",U.S. PACIFIC FLEET,09/12/1987,"NAVAL BASE, GUAM",,,Battle Force,Newport News Shipbuilding,08/13/1981,09/12/1987,07/06/1983,,07/20/1985,,33.2,,09/04/1987,,31.0,,,362 ft,,33 ft,,31 ft,,5799 tons,6206 tons,407 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),12,98,US NAVY,Huntington Ingalls Industries - Newport News Shipbuilding,General Dynamics Electric Boat,PMS 392,,05/30/2018
USS KIDD (DDG 100),DDG 51,23152,"Active, in commission",U.S. PACIFIC FLEET,05/31/2007,"EVERETT, WA",,,Battle Force,Northrop Grumman Ship Systems Ingalls Operations,03/06/1998,06/09/2007,03/01/2004,,12/15/2004,,13.8,,12/18/2006,,11.8,,,510 ft,471 ft,66 ft,59 ft,32 ft,22 ft,7134 tons,9515 tons,2381 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,30,282,US NAVY,General Dynamics Bath Iron Works,,PMS 400,"USS KIDD, DDG 100 WAS COMMISSIONED WITHOUT CEREMONY ON 31 MAY 07 AND HER COMMISSIONING CEREMONY WAS HELD ON 09 JUN 07.",06/27/2018
USS LA JOLLA (SSN 701),SSN 688,20826,"In Commission, Special",U.S. ATLANTIC FLEET,02/03/2015,"PORTSMOUTH, VA",,,,General Dynamics Corp.,12/10/1973,09/30/1981,10/16/1976,02/03/2015,08/11/1979,,39.1,,09/30/1981,,37.0,,,362 ft,,33 ft,,32 ft,,5774 tons,6141 tons,367 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),12,98,US NAVY,Huntington Ingalls Industries - Newport News Shipbuilding,General Dynamics Electric Boat,PMS 392,Currently undergoing conversion to Submarine Moored Training Ship,05/30/2018
USS LABOON (DDG 58),DDG 51,21820,"Active, in commission",U.S. ATLANTIC FLEET,03/18/1995,"NORFOLK, VA",,,Battle Force,Bath Iron Works Corp.,12/13/1988,03/18/1995,03/23/1992,,02/20/1993,,25.6,,12/02/1994,,23.8,,,505 ft,466 ft,66 ft,59 ft,31 ft,22 ft,6742 tons,8960 tons,2218 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,26,330,US NAVY,General Dynamics Bath Iron Works,,PMS 400,,06/27/2018
USS LAKE CHAMPLAIN (CG 57),CG 47,21428,"Active, in commission",U.S. PACIFIC FLEET,08/12/1988,"SAN DIEGO, CA",,,Battle Force,Ingalls Shipbuilding Corp.,12/16/1983,08/12/1988,03/03/1986,,04/03/1987,,31.4,,06/01/1988,,30.3,,,567 ft,529 ft,55 ft,55 ft,33 ft,23 ft,7132 tons,9992 tons,2860 tons,"Steel hull, aluminum superstructure.",2,,Gas Turbines,37,339,US NAVY,Huntington Ingalls Industries - Ingalls Shipbuilding,,PMS 407,,08/02/2018
USS LAKE ERIE (CG 70),CG 47,21827,"Active, in commission",U.S. PACIFIC FLEET,07/24/1993,"SAN DIEGO, CA",,,Battle Force,Bath Iron Works Corp.,02/25/1988,05/10/1993,03/06/1990,,07/13/1991,,27.2,,03/12/1993,,25.5,,,567 ft,529 ft,55 ft,55 ft,33 ft,23 ft,7132 tons,9992 tons,2860 tons,"Steel hull, aluminum superstructure.",2,,Gas Turbines,37,339,US NAVY,Huntington Ingalls Industries - Ingalls Shipbuilding,,PMS 407,,08/02/2018
USS LASSEN (DDG 82),DDG 51,21956,"Active, in commission",U.S. ATLANTIC FLEET,04/23/2001,"MAYPORT, FL",,,Battle Force,Northrop Grumman Ship Systems Ingalls Operations,01/06/1995,04/21/2001,08/24/1998,,10/16/1999,,18.9,,02/05/2001,,17.6,,,510 ft,471 ft,66 ft,59 ft,32 ft,22 ft,7134 tons,9515 tons,2381 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,30,282,US NAVY,General Dynamics Bath Iron Works,,PMS 400,,06/27/2018
USS LEWIS B PULLER (ESB 3),ESB 3,70027,"Active, in commission",U.S. ATLANTIC FLEET,08/17/2017,"NORFOLK, VA",,,Battle Force,General Dynamics NASSCO,02/26/2012,08/17/2017,11/05/2013,,11/06/2014,,3.8,,06/12/2015,06/12/2015,3.3,08/17/2017,,837 ft,795 ft,164 ft,164 ft,28 ft,33 ft,39900 tons,78800 tons,38900 tons,"Steel hull, steel superstructure.",2,,Diesel Electric,,,US NAVY,Military Sealift Command,,PMS 385,"USNS Lewis B Puller (T-ESB 3) was placed in service with the Military Sealift Command on June 12, 2015 and placed out of Service on Aug 17, 2017. USS Lewis B Puller (ESB 3) was then Commissioned on Aug 17, 2017",06/27/2018
USS LEYTE GULF (CG 55),CG 47,21388,"Active, in commission",U.S. ATLANTIC FLEET,09/26/1987,"NORFOLK, VA",,,Battle Force,Ingalls Shipbuilding Corp.,06/20/1983,09/26/1987,03/18/1985,,06/20/1986,,32.3,,08/03/1987,,31.1,,,567 ft,529 ft,55 ft,55 ft,33 ft,23 ft,7132 tons,9992 tons,2860 tons,"Steel hull, aluminum superstructure.",2,,Gas Turbines,37,339,US NAVY,Huntington Ingalls Industries - Ingalls Shipbuilding,,PMS 407,,08/02/2018
USS LITTLE ROCK (LCS 9),LCS,20138,"Active, in commission",U.S. ATLANTIC FLEET,12/16/2017,"MAYPORT, FL",,,Battle Force,Marinette Marine Corp.,12/29/2010,12/16/2017,06/27/2013,,07/18/2015,,3.2,,09/25/2017,,1.0,,,,,,,,,,,,,,,,,,US NAVY,General Dynamics Bath Iron Works,,PMS 501,,06/27/2018
USS LOUISIANA (SSBN 743),SSBN 726,21861,"Active, in commission",U.S. PACIFIC FLEET,09/06/1997,"BANGOR, WA",,,Battle Force,General Dynamics Corp.,12/19/1990,09/06/1997,10/23/1992,,07/27/1996,,22.2,,08/14/1997,,21.1,,,560 ft,,42 ft,,38 ft,,16600 tons,18700 tons,2100 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),13,140,US NAVY,General Dynamics Electric Boat,General Dynamics Electric Boat,PMS 392,,06/27/2018
USS LOUISVILLE (SSN 724),SSN 688,21302,"Active, in commission",U.S. PACIFIC FLEET,11/08/1986,"PEARL HARBOR, HI",,,Battle Force,General Dynamics Corp.,02/11/1982,11/08/1986,09/16/1984,,12/14/1985,,32.8,,10/28/1986,,31.9,,,362 ft,,33 ft,,31 ft,,5789 tons,6185 tons,396 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),12,98,US NAVY,Huntington Ingalls Industries - Newport News Shipbuilding,General Dynamics Electric Boat,PMS 392,,05/30/2018
USS MAHAN (DDG 72),DDG 51,21946,"Active, in commission",U.S. ATLANTIC FLEET,02/14/1998,"NORFOLK, VA",,,Battle Force,Bath Iron Works Corp.,04/08/1992,02/14/1998,08/17/1995,,06/29/1996,,22.3,,08/22/1997,,21.1,,,505 ft,466 ft,66 ft,59 ft,32 ft,24 ft,6805 tons,8960 tons,2155 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,26,330,US NAVY,General Dynamics Bath Iron Works,,PMS 400,,06/27/2018
USS MAINE (SSBN 741),SSBN 726,21826,"Active, in commission",U.S. PACIFIC FLEET,07/29/1995,"BANGOR, WA",,,Battle Force,General Dynamics Corp.,10/05/1988,07/29/1995,07/03/1990,,07/16/1994,,24.2,,06/21/1995,,23.3,,,560 ft,,42 ft,,38 ft,,16600 tons,18700 tons,2100 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),13,140,US NAVY,General Dynamics Electric Boat,General Dynamics Electric Boat,PMS 392,,06/27/2018
USS MAKIN ISLAND (LHD 8),LHD 1,23171,"Active, in commission",U.S. PACIFIC FLEET,10/24/2009,"SAN DIEGO, CA",,,Battle Force,Northrop Grumman Ship Systems Ingalls Operations,04/19/2002,10/24/2009,02/14/2004,,09/22/2006,,12.0,,04/16/2009,,9.4,,,847 ft,778 ft,118 ft,106 ft,28 ft,28 ft,28176 tons,41684 tons,13508 tons,"Steel hull, aluminum superstructure.",2,,Hybrid Gas Turbine-Electric,102,1102,US NAVY,Norfolk Naval Shipyard,,PMS 470,MAKIN ISLAND EARNED COMMISSION (SPECIAL) STATUS 26 JUN 09.,06/27/2018
USS MANCHESTER (LCS 14),LCS,20095,"Active, in commission",U.S. PACIFIC FLEET,05/26/2018,"SAN DIEGO, CA",,,Battle Force,Austal USA,12/29/2010,05/26/2018,06/29/2015,,05/13/2016,,2.3,,02/28/2018,,0.6,,,,,,,,,,,,,,,,,,US NAVY,General Dynamics Bath Iron Works,,PMS 501,,06/27/2018
USS MARYLAND (SSBN 738),SSBN 726,21460,"Active, in commission",U.S. ATLANTIC FLEET,06/13/1992,"KINGS BAY, GA",,,Battle Force,General Dynamics Corp.,03/14/1986,06/13/1992,04/22/1986,,08/10/1991,,27.1,,05/31/1992,,26.3,,,560 ft,,42 ft,,38 ft,,16600 tons,18700 tons,2100 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),13,140,US NAVY,General Dynamics Electric Boat,General Dynamics Electric Boat,PMS 392,,06/27/2018
USS MASON (DDG 87),DDG 51,22995,"Active, in commission",U.S. ATLANTIC FLEET,04/12/2003,"NORFOLK, VA",,,Battle Force,Bath Iron Works Corp.,12/13/1996,04/12/2003,01/20/2000,,06/23/2001,,17.3,,11/22/2002,,15.8,,,510 ft,471 ft,66 ft,59 ft,32 ft,22 ft,7134 tons,9515 tons,2381 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,30,282,US NAVY,General Dynamics Bath Iron Works,,PMS 400,,06/27/2018
USS MCCAMPBELL (DDG 85),DDG 51,22993,"Active, in commission",U.S. PACIFIC FLEET,08/17/2002,"YOKOSUKA, JAPAN",,,Battle Force,Bath Iron Works Corp.,12/13/1996,08/17/2002,07/15/1999,,07/02/2000,,18.2,,03/08/2002,,16.5,,,510 ft,471 ft,66 ft,59 ft,32 ft,22 ft,7134 tons,9515 tons,2381 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,30,282,US NAVY,General Dynamics Bath Iron Works,,PMS 400,,06/27/2018
USS MCFAUL (DDG 74),DDG 51,21948,"Active, in commission",U.S. ATLANTIC FLEET,04/25/1998,"NORFOLK, VA",,,Battle Force,Ingalls Shipbuilding Corp.,01/21/1993,04/25/1998,01/26/1996,,01/18/1997,,21.7,,02/23/1998,,20.6,,,505 ft,466 ft,66 ft,59 ft,32 ft,24 ft,6783 tons,8960 tons,2177 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,26,330,US NAVY,General Dynamics Bath Iron Works,,PMS 400,,06/27/2018
USS MESA VERDE (LPD 19),LPD 17,32421,"Active, in commission",U.S. ATLANTIC FLEET,12/15/2007,"NORFOLK, VA",,,Battle Force,Northrop Grumman Ship Systems Ingalls Operations,02/15/2000,12/15/2007,02/25/2003,,11/20/2004,,13.8,,09/28/2007,,11.0,,,684 ft,656 ft,105 ft,105 ft,,24 ft,19100 tons,25750 tons,6650 tons,"Steel hull, steel superstructure.",2,,Diesel Engines,38,364,US NAVY,Huntington Ingalls Industries - Ingalls Shipbuilding,,PMS 407,,08/01/2018
USS MICHAEL MURPHY (DDG 112),DDG 51,55688,"Active, in commission",U.S. PACIFIC FLEET,09/05/2012,"PEARL HARBOR, HI",,,Battle Force,Bath Iron Works Corp.,09/13/2002,09/05/2012,06/12/2010,,05/08/2011,,7.3,,05/04/2012,,6.3,,,510 ft,471 ft,66 ft,59 ft,32 ft,22 ft,7134 tons,9515 tons,2381 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,32,282,US NAVY,General Dynamics Bath Iron Works,,PMS 400,,06/27/2018
USS MICHIGAN (SSGN 727),SSGN 726,21037,"Active, in commission",U.S. PACIFIC FLEET,01/01/2004,"BANGOR, WA",,,Battle Force,General Dynamics Corp.,02/28/1975,09/11/1982,04/04/1977,,04/26/1980,,38.4,,08/28/1982,,36.1,,,560 ft,,42 ft,,38 ft,,15280 tons,16782 tons,1502 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),13,140,US NAVY,General Dynamics Electric Boat,General Dynamics Electric Boat,PMS 396,"SSGN 727 WAS DELIVERED FROM CONVERSION ON 22 NOV 06 AT ELECTRIC BOAT, GROTON, CT AND HAD A RETURN TO SERVICE CEREMONY AT NAVAL BASE KITSAP ON 12 JUN 07.",06/27/2018
USS MILIUS (DDG 69),DDG 51,21943,"Active, in commission",U.S. PACIFIC FLEET,11/23/1996,"YOKOSUKA, JAPAN",,,Battle Force,Ingalls Shipbuilding Corp.,04/08/1992,11/23/1996,08/08/1994,,08/01/1995,,23.1,,08/19/1996,,22.1,,,505 ft,466 ft,66 ft,59 ft,32 ft,22 ft,6855 tons,8960 tons,2105 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,26,330,US NAVY,General Dynamics Bath Iron Works,,PMS 400,,06/27/2018
USS MILWAUKEE (LCS 5),LCS,20134,"Active, in commission",U.S. ATLANTIC FLEET,11/21/2015,"MAYPORT, FL",,,Battle Force,Marinette Marine Corp.,12/29/2010,11/21/2015,10/27/2011,,12/18/2013,,4.8,,10/16/2015,,2.9,,,,,,,,,,,,,,4,Diesel - Gas Turbine,,,US NAVY,General Dynamics Bath Iron Works,,PMS 501,,06/27/2018
USS MINNESOTA (SSN 783),SSN 774,20034,"Active, in commission",U.S. ATLANTIC FLEET,09/07/2013,"GROTON, CT",,,Battle Force,Newport News Shipbuilding,08/14/2003,09/07/2013,05/20/2011,,11/03/2012,,5.8,,06/06/2013,,5.3,,,377 ft,,34 ft,,32 ft,,,7800 tons,,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),15,117,US NAVY,General Dynamics Electric Boat,General Dynamics Electric Boat,PMS 450,,06/27/2018
USS MISSISSIPPI (SSN 782),SSN 774,20080,"Active, in commission",U.S. PACIFIC FLEET,06/02/2012,"PEARL HARBOR, HI",,,Battle Force,General Dynamics Corp.,12/28/2006,06/02/2012,06/09/2010,,10/13/2011,,6.9,,05/02/2012,,6.3,,,377 ft,,33 ft,,32 ft,,,7800 tons,,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),15,117,US NAVY,General Dynamics Electric Boat,General Dynamics Electric Boat,PMS 450,,06/27/2018
USS MISSOURI (SSN 780),SSN 774,20002,"Active, in commission",U.S. PACIFIC FLEET,07/31/2010,"PEARL HARBOR, HI",,,Battle Force,General Dynamics Corp.,08/14/2003,07/31/2010,09/27/2008,,11/20/2009,,8.8,,07/29/2010,,8.2,,,377 ft,,33 ft,,32 ft,,,7800 tons,,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),15,117,US NAVY,General Dynamics Electric Boat,General Dynamics Electric Boat,PMS 450,,06/27/2018
USS MITSCHER (DDG 57),DDG 51,21687,"Active, in commission",U.S. ATLANTIC FLEET,12/10/1994,"NORFOLK, VA",,,Battle Force,Ingalls Shipbuilding Corp.,12/13/1988,12/10/1994,02/12/1992,,05/07/1993,,25.3,,10/03/1994,,23.9,,,505 ft,466 ft,66 ft,59 ft,31 ft,22 ft,6837 tons,8960 tons,2123 tons,"Steel hull, steel superstructure.",2,,Gas Turbines,26,330,US NAVY,General Dynamics Bath Iron Works,,PMS 400,,06/27/2018
